Timestamp,Voltaje Fuente (µV),Voltaje Medido (µV),Canal,Voltaje OPC Canal (µV)
16-13:00:01.048,199934.28618367016,200356.37900000002,0,200579000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,1,200541000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,2,200503000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,3,200465000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,4,200579000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,5,200579000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,6,200541000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,7,200503000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,8,200579000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,9,200503000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,10,200541000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,11,200541000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,12,200503000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,13,200541000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,14,200541000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,15,200579000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,16,200694000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,17,200732000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,18,200694000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,19,200694000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,20,200694000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,21,200770000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,22,200732000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,23,200694000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,24,200961000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,25,200732000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,26,200656000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,27,200694000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,28,200694000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,29,200732000000.0
16-13:00:01.048,199934.28618367016,200356.37900000002,30,200617000000.0
